SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT
0.0,0.6,0.7,40.0,0.82,0.0,0.0
0.0,0.0,0.8,60.0,1.26,0.0,0.0
0.0,0.0,1.2,60.0,2.15,0.0,0.0
0.0,0.0,1.1,60.0,2.78,0.0,0.0
0.0,0.0,1.4,60.0,2.56,0.0,0.0
0.0,0.0,1.9,60.0,1.8,0.0,0.0
0.0,0.2,1.7,60.0,1.69,0.0,0.0
0.0,0.2,1.4,60.0,1.69,0.0,0.0
0.0,0.8,1.3,60.0,1.27,0.0,0.0
0.0,1.0,0.8,60.0,1.05,0.0,0.0
0.0,0.6,1.4,60.0,1.84,0.0,0.0
0.0,1.2,3.1,60.0,2.55,0.0,0.0
0.0,1.0,2.2,60.0,2.47,0.0,0.0
24.0,2.0,2.6,60.0,2.63,0.0,0.0
70.0,0.4,2.6,60.0,2.91,0.0,0.0
65.0,0.8,2.6,60.0,3.01,0.0,0.0
118.0,0.2,2.2,60.0,3.61,0.0,0.0
155.0,0.0,2.8,60.0,4.7,0.0,0.0
82.0,0.0,2.6,10.0,4.72,0.0,0.0
101.0,0.0,2.4,0.0,5.67,0.0,0.0
33.0,0.0,1.3,0.0,4.33,0.0,0.0
0.0,0.0,1.6,0.0,3.35,0.0,0.0
0.0,0.0,1.0,0.0,3.38,0.0,0.0
0.0,0.0,1.5,0.0,3.15,0.0,0.0
0.0,0.0,1.2,0.0,2.57,0.0,0.0
0.0,0.0,1.2,0.0,1.86,0.0,0.0
0.0,0.0,1.1,0.0,1.84,0.0,0.0
0.0,0.0,0.5,0.0,1.78,0.0,0.0
0.0,0.0,0.5,0.0,1.74,0.0,0.0
0.0,0.0,0.0,0.0,1.05,0.0,0.0
0.0,0.0,0.0,0.0,1.07,0.0,0.0
0.0,0.0,0.0,0.0,-0.22,0.0,0.0
0.0,0.0,0.0,0.0,-0.73,0.0,0.0
0.0,0.0,0.0,0.0,-0.48,0.0,0.0
0.0,0.0,0.0,0.0,-0.38,0.0,0.0
0.0,0.0,0.3,0.0,0.24,0.0,0.0
24.0,0.0,0.0,0.0,0.43,0.0,0.0
135.0,0.0,0.1,0.0,1.26,0.0,0.0
267.0,0.0,0.3,0.0,2.14,0.0,0.0
365.0,0.0,0.3,0.0,4.35,0.0,0.0
325.0,0.0,0.3,0.0,6.06,0.0,0.0
313.0,0.0,0.3,0.0,7.11,0.0,0.0
210.0,0.0,0.4,0.0,6.88,0.0,0.0
126.0,0.0,0.5,0.0,6.84,0.0,0.0
37.0,0.0,1.0,0.0,5.67,0.0,0.0
0.0,0.0,0.2,0.0,4.99,0.0,0.0
0.0,0.0,0.0,0.0,4.31,0.0,0.0
0.0,0.0,0.0,0.0,3.04,0.0,0.0
0.0,0.0,0.1,0.0,2.37,0.0,0.0
0.0,0.0,0.0,0.0,2.13,0.0,0.0
0.0,0.0,0.2,0.0,1.7,0.0,0.0
0.0,0.0,0.0,0.0,2.02,0.0,0.0
0.0,0.0,0.4,0.0,2.09,0.0,0.0
0.0,0.0,0.8,0.0,1.71,0.0,0.0
0.0,0.2,0.1,0.0,1.52,0.0,0.0
0.0,0.2,0.2,0.0,1.4,0.0,0.0
0.0,0.0,0.0,0.0,1.11,0.0,0.0
0.0,0.0,0.0,0.0,0.7,0.0,0.0
0.0,0.0,0.0,0.0,0.45,0.0,0.0
0.0,0.0,0.0,10.0,0.35,0.0,0.0
0.0,0.0,0.0,0.0,0.44,0.0,0.0
31.0,0.0,0.0,0.0,0.81,0.0,0.0
99.0,0.0,0.0,0.0,1.56,0.0,0.0
125.0,0.0,0.0,0.0,2.43,0.0,0.0
108.0,0.0,0.0,0.0,2.54,0.0,0.0
68.0,0.0,0.0,0.0,2.7,0.0,0.0
46.0,0.0,0.0,0.0,2.68,0.0,0.0
37.0,0.0,0.0,0.0,2.64,0.0,0.0
0.0,0.0,0.3,0.0,2.28,0.0,0.0
0.0,0.0,0.3,0.0,1.78,0.0,0.0
0.0,0.0,0.1,0.0,1.63,0.0,0.0
0.0,0.0,0.0,0.0,1.55,0.0,0.0
0.0,0.0,0.0,0.0,1.45,0.0,0.0
0.0,0.0,0.0,0.0,1.41,0.0,0.0
0.0,0.0,0.1,0.0,1.35,0.0,0.0
0.0,0.0,1.7,0.0,0.96,0.0,0.0
0.0,0.0,1.4,0.0,0.75,0.0,0.0
0.0,0.0,0.7,0.0,0.62,0.0,0.0
0.0,0.0,1.1,0.0,0.15,0.0,0.0
0.0,0.0,1.4,0.0,-0.26,0.0,0.0
0.0,0.0,1.1,0.0,-0.75,0.0,0.0
0.0,0.0,1.0,0.0,-1.23,0.0,0.0
0.0,0.0,1.1,0.0,-2.0,0.0,0.0
0.0,0.0,0.9,0.0,-2.55,0.0,0.0
20.0,0.0,1.5,0.0,-2.61,0.0,0.0
30.0,0.0,1.0,0.0,-2.61,0.0,0.0
79.0,0.0,1.2,0.0,-2.3,0.0,0.0
165.0,0.0,1.8,0.0,-2.17,0.0,0.0
197.0,0.0,0.7,0.0,-1.62,0.0,0.0
143.0,0.0,0.9,0.0,-1.99,0.0,0.0
91.0,0.0,1.6,0.0,-2.26,0.0,0.0
51.0,0.0,1.0,0.0,-2.72,0.0,0.0
14.0,0.0,0.8,0.0,-2.86,0.0,0.0
0.0,0.0,2.0,0.0,-3.02,0.0,0.0
0.0,0.0,2.1,0.0,-3.26,0.0,0.0
0.0,0.0,3.9,0.0,-3.2,0.0,0.0
0.0,0.0,2.8,0.0,-3.19,0.0,0.0
0.0,0.0,3.3,0.0,-3.38,0.0,0.0
0.0,0.0,4.3,0.0,-3.9,0.0,0.0
0.0,0.0,3.1,0.0,-4.09,0.0,0.0
0.0,0.0,1.5,0.0,-4.58,0.0,0.0
0.0,0.0,0.9,0.0,-5.14,0.0,0.0
0.0,0.0,0.9,0.0,-5.48,0.0,0.0
0.0,0.0,0.5,0.0,-5.94,0.0,0.0
0.0,0.0,0.3,0.0,-6.28,0.0,0.0
0.0,0.0,1.1,0.0,-6.43,0.0,0.0
0.0,0.0,0.5,0.0,-6.75,0.0,0.0
0.0,0.0,0.0,0.0,-7.28,0.0,0.0
34.0,0.0,0.2,0.0,-6.62,0.0,0.0
186.0,0.0,0.7,0.0,-4.9,0.0,0.0
302.0,0.0,1.5,0.0,-2.84,0.0,0.0
379.0,0.0,2.0,0.0,-1.63,0.0,0.0
404.0,0.0,1.6,0.0,-0.63,0.0,0.0
374.0,0.0,1.4,0.0,0.16,0.0,0.0
294.0,0.0,0.6,0.0,0.99,0.0,0.0
173.0,0.0,0.1,0.0,1.56,0.0,0.0
52.0,0.0,0.0,0.0,0.91,0.0,0.0
0.0,0.0,0.0,0.0,-0.84,0.0,0.0
0.0,0.0,0.0,0.0,-2.3,0.0,0.0
0.0,0.0,0.0,0.0,-3.12,0.0,0.0
0.0,0.0,0.0,0.0,-3.96,0.0,0.0
0.0,0.0,0.0,0.0,-4.45,0.0,0.0
0.0,0.0,0.0,0.0,-4.43,0.0,0.0
0.0,0.0,0.0,0.0,-5.4,0.0,0.0
