SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT,Date
122.0,0.0,1.4,0.0,11.31,0.0,0.0,2024-03-14 16:00:00
61.0,0.0,1.8,0.0,10.79,0.0,0.0,2024-03-14 17:00:00
9.0,0.0,3.7,0.0,10.06,0.0,0.0,2024-03-14 18:00:00
0.0,0.0,3.5,0.0,8.88,0.0,0.0,2024-03-14 19:00:00
0.0,0.2,2.5,0.0,7.76,0.0,0.0,2024-03-14 20:00:00
0.0,1.0,1.7,60.0,6.27,0.0,0.0,2024-03-14 21:00:00
0.0,1.2,1.5,60.0,5.51,91.66,0.0,2024-03-14 22:00:00
0.0,0.8,1.9,60.0,5.23,100.0,5.2,2024-03-14 23:00:00
0.0,0.4,0.7,60.0,5.1,100.0,5.0,2024-03-15 00:00:00
0.0,0.0,0.5,60.0,4.95,100.0,4.9,2024-03-15 01:00:00
0.0,0.0,0.4,0.0,4.9,100.0,4.8,2024-03-15 02:00:00
0.0,0.0,1.7,10.0,4.84,100.0,4.8,2024-03-15 03:00:00
0.0,0.0,3.0,15.0,4.85,100.0,4.8,2024-03-15 04:00:00
0.0,0.0,1.8,0.0,4.95,100.0,4.9,2024-03-15 05:00:00
0.0,0.0,2.1,0.0,4.98,100.0,4.9,2024-03-15 06:00:00
0.0,0.0,1.2,0.0,4.93,100.0,4.9,2024-03-15 07:00:00
29.0,0.0,2.2,0.0,5.02,100.0,4.9,2024-03-15 08:00:00
60.0,0.0,2.7,0.0,5.45,100.0,5.4,2024-03-15 09:00:00
182.0,0.0,2.6,0.0,6.37,100.0,6.3,2024-03-15 10:00:00
128.0,0.0,1.0,0.0,7.51,100.0,7.4,2024-03-15 11:00:00
155.0,0.0,1.7,0.0,7.98,100.0,7.9,2024-03-15 12:00:00
200.0,0.0,3.5,0.0,8.36,100.0,8.3,2024-03-15 13:00:00
329.0,0.0,2.9,0.0,9.54,100.0,9.4,2024-03-15 14:00:00
231.0,0.0,2.6,0.0,9.82,100.0,9.7,2024-03-15 15:00:00
152.0,0.0,1.7,0.0,9.95,100.0,9.9,2024-03-15 16:00:00
118.0,0.0,2.4,0.0,10.03,100.0,9.9,2024-03-15 17:00:00
43.0,0.0,2.8,0.0,9.71,75.0,0.0,2024-03-15 18:00:00
0.0,0.0,2.4,0.0,9.01,91.66,0.0,2024-03-15 19:00:00
0.0,0.2,2.5,0.0,8.51,100.0,8.4,2024-03-15 20:00:00
0.0,0.0,2.5,0.0,7.89,100.0,7.8,2024-03-15 21:00:00
0.0,0.0,2.9,0.0,7.23,100.0,7.1,2024-03-15 22:00:00
0.0,0.0,1.1,0.0,6.76,100.0,6.7,2024-03-15 23:00:00
0.0,0.0,0.0,0.0,5.58,100.0,5.5,2024-03-16 00:00:00
0.0,0.0,0.1,0.0,4.84,100.0,4.8,2024-03-16 01:00:00
0.0,0.0,0.0,0.0,3.89,100.0,3.8,2024-03-16 02:00:00
0.0,0.0,0.1,0.0,3.18,100.0,3.1,2024-03-16 03:00:00
0.0,0.0,0.0,0.0,2.55,100.0,2.5,2024-03-16 04:00:00
0.0,0.0,0.0,0.0,1.89,100.0,1.8,2024-03-16 05:00:00
0.0,0.0,0.2,0.0,1.31,100.0,1.2,2024-03-16 06:00:00
0.0,0.0,0.0,0.0,0.8,100.0,0.7,2024-03-16 07:00:00
43.0,0.0,0.3,0.0,1.45,100.0,1.4,2024-03-16 08:00:00
150.0,0.0,2.4,0.0,3.59,97.13,3.0,2024-03-16 09:00:00
367.0,0.0,2.6,0.0,5.87,100.0,5.8,2024-03-16 10:00:00
550.0,0.0,2.6,0.0,7.87,99.35,7.7,2024-03-16 11:00:00
511.0,0.0,1.9,0.0,9.43,96.92,8.8,2024-03-16 12:00:00
549.0,0.0,1.3,0.0,10.13,91.66,0.0,2024-03-16 13:00:00
393.0,0.0,0.6,0.0,10.9,100.0,10.8,2024-03-16 14:00:00
406.0,0.0,0.3,0.0,11.74,100.0,11.7,2024-03-16 15:00:00
208.0,0.0,0.4,0.0,11.24,64.53,7.1,2024-03-16 16:00:00
151.0,0.0,0.1,0.0,10.94,89.55,0.0,2024-03-16 17:00:00
68.0,0.0,0.0,0.0,10.31,0.0,0.0,2024-03-16 18:00:00
0.0,0.0,0.0,0.0,8.39,89.61,0.0,2024-03-16 19:00:00
0.0,0.0,0.0,0.0,6.87,0.0,0.0,2024-03-16 20:00:00
0.0,0.0,0.0,0.0,6.34,0.0,0.0,2024-03-16 21:00:00
0.0,0.0,0.0,0.0,6.73,0.0,0.0,2024-03-16 22:00:00
0.0,0.0,0.0,0.0,6.56,25.0,0.0,2024-03-16 23:00:00
0.0,0.0,0.2,0.0,6.76,65.65,4.2,2024-03-17 00:00:00
0.0,0.0,0.0,0.0,6.66,83.33,5.5,2024-03-17 01:00:00
0.0,0.0,0.0,0.0,6.24,100.0,6.2,2024-03-17 02:00:00
0.0,0.0,0.0,0.0,6.33,100.0,6.3,2024-03-17 03:00:00
0.0,0.0,0.0,0.0,5.91,90.65,0.0,2024-03-17 04:00:00
0.0,0.0,0.0,0.0,5.58,90.67,0.0,2024-03-17 05:00:00
0.0,0.0,0.0,0.0,5.75,36.71,0.0,2024-03-17 06:00:00
0.0,0.0,0.0,0.0,5.78,0.0,0.0,2024-03-17 07:00:00
42.0,0.0,0.0,0.0,6.35,0.0,0.0,2024-03-17 08:00:00
84.0,0.0,0.0,0.0,7.77,0.0,0.0,2024-03-17 09:00:00
49.0,0.0,0.0,0.0,8.33,0.0,0.0,2024-03-17 10:00:00
83.0,0.2,0.0,0.0,7.54,0.0,0.0,2024-03-17 11:00:00
182.0,0.0,0.2,0.0,8.91,0.0,0.0,2024-03-17 12:00:00
260.0,0.0,0.5,0.0,9.96,0.0,0.0,2024-03-17 13:00:00
