,SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT
12995,452.0,0.0,0.9,0.0,13.15,0.0,0.0
12996,315.0,0.0,0.4,0.0,13.64,0.0,0.0
12997,157.0,0.0,0.3,0.0,13.24,0.0,0.0
12998,33.0,0.0,0.0,0.0,12.05,0.0,0.0
12999,0.0,0.0,0.0,0.0,9.46,0.0,0.0
13000,0.0,0.0,0.0,0.0,7.12,0.0,0.0
13001,0.0,0.0,0.0,0.0,6.59,0.0,0.0
13002,0.0,0.0,0.0,0.0,4.56,0.0,0.0
13003,0.0,0.0,0.0,0.0,3.02,0.0,0.0
13004,0.0,0.0,0.0,0.0,2.26,0.0,0.0
13005,0.0,0.0,0.0,0.0,1.52,0.0,0.0
13006,0.0,0.0,0.0,0.0,0.44,0.0,0.0
13007,0.0,0.0,0.0,0.0,0.01,0.0,0.0
13008,0.0,0.0,0.0,0.0,-0.77,0.0,0.0
13009,0.0,0.0,0.0,0.0,-1.51,0.0,0.0
13010,0.0,0.0,0.0,0.0,-2.07,0.0,0.0
13011,0.0,0.0,1.0,0.0,-1.73,0.0,0.0
13012,32.0,0.0,1.8,0.0,-0.92,0.0,0.0
13013,102.0,0.0,0.8,0.0,-0.29,0.0,0.0
13014,179.0,0.0,0.9,0.0,1.23,0.0,0.0
13015,253.0,0.0,0.3,0.0,3.69,0.0,0.0
13016,301.0,0.0,1.2,0.0,6.0,0.0,0.0
13017,365.0,0.0,1.2,0.0,8.49,0.0,0.0
13018,361.0,0.0,1.0,0.0,9.85,0.0,0.0
13019,322.0,0.0,1.5,0.0,10.47,0.0,0.0
13020,217.0,0.0,0.6,0.0,11.05,0.0,0.0
13021,125.0,0.0,0.6,0.0,10.34,0.0,0.0
13022,28.0,0.0,0.1,0.0,8.28,0.0,0.0
13023,0.0,0.0,0.0,0.0,6.63,0.0,0.0
13024,0.0,0.0,0.1,0.0,5.35,0.0,0.0
13025,0.0,0.0,0.9,0.0,4.51,0.0,0.0
13026,0.0,0.0,0.8,0.0,3.35,0.0,0.0
13027,0.0,0.0,0.8,0.0,2.49,0.0,0.0
13028,0.0,0.0,1.9,0.0,2.3,0.0,0.0
13029,0.0,0.0,2.4,0.0,1.89,0.0,0.0
