SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT,DATE
0.0,0.0,1.7,0.0,16.63,0.0,0.0,2024-05-09 20:00:00
0.0,0.0,1.4,0.0,15.26,0.0,0.0,2024-05-09 21:00:00
0.0,0.0,0.7,0.0,14.59,0.0,0.0,2024-05-09 22:00:00
0.0,0.0,1.1,0.0,13.26,0.0,0.0,2024-05-09 23:00:00
0.0,0.0,1.2,0.0,13.71,0.0,0.0,2024-05-10 00:00:00
0.0,0.0,1.4,0.0,12.77,0.0,0.0,2024-05-10 01:00:00
0.0,0.0,1.0,0.0,12.94,0.0,0.0,2024-05-10 02:00:00
0.0,0.0,1.2,0.0,12.02,0.0,0.0,2024-05-10 03:00:00
0.0,0.0,0.7,0.0,11.29,0.0,0.0,2024-05-10 04:00:00
0.0,0.0,1.3,0.0,10.24,0.0,0.0,2024-05-10 05:00:00
0.0,0.0,1.2,0.0,9.22,0.0,0.0,2024-05-10 06:00:00
33.0,0.0,1.6,0.0,10.89,0.0,0.0,2024-05-10 07:00:00
38.0,0.0,1.8,0.0,12.96,0.0,0.0,2024-05-10 08:00:00
91.0,0.0,1.4,0.0,15.48,0.0,0.0,2024-05-10 09:00:00
107.0,0.0,1.4,0.0,17.79,0.0,0.0,2024-05-10 10:00:00
143.0,0.0,1.5,0.0,19.36,0.0,0.0,2024-05-10 11:00:00
158.0,0.0,1.5,0.0,20.54,0.0,0.0,2024-05-10 12:00:00
162.0,0.0,1.6,0.0,21.27,0.0,0.0,2024-05-10 13:00:00
148.0,0.0,1.3,0.0,22.09,0.0,0.0,2024-05-10 14:00:00
140.0,0.0,1.8,0.0,22.15,0.0,0.0,2024-05-10 15:00:00
112.0,0.0,2.2,0.0,22.41,0.0,0.0,2024-05-10 16:00:00
78.0,0.0,2.0,0.0,22.13,0.0,0.0,2024-05-10 17:00:00
56.0,0.0,1.9,0.0,21.58,0.0,0.0,2024-05-10 18:00:00
22.0,0.0,1.8,0.0,20.04,0.0,0.0,2024-05-10 19:00:00
0.0,0.0,1.6,0.0,17.66,0.0,0.0,2024-05-10 20:00:00
0.0,0.0,1.2,0.0,15.67,0.0,0.0,2024-05-10 21:00:00
0.0,0.0,1.1,0.0,14.31,0.0,0.0,2024-05-10 22:00:00
0.0,0.0,1.1,0.0,13.26,0.0,0.0,2024-05-10 23:00:00
0.0,0.0,1.4,0.0,13.11,0.0,0.0,2024-05-11 00:00:00
0.0,0.0,1.2,0.0,11.61,0.0,0.0,2024-05-11 01:00:00
0.0,0.0,1.4,0.0,10.39,0.0,0.0,2024-05-11 02:00:00
0.0,0.0,0.6,0.0,9.82,0.0,0.0,2024-05-11 03:00:00
0.0,0.0,0.6,0.0,8.2,0.0,0.0,2024-05-11 04:00:00
0.0,0.0,0.4,0.0,7.64,0.0,0.0,2024-05-11 05:00:00
0.0,0.0,0.4,0.0,7.99,0.0,0.0,2024-05-11 06:00:00
29.0,0.0,0.1,0.0,10.56,0.0,0.0,2024-05-11 07:00:00
40.0,0.0,0.7,0.0,13.6,0.0,0.0,2024-05-11 08:00:00
56.0,0.0,0.9,0.0,15.27,0.0,0.0,2024-05-11 09:00:00
98.0,0.0,1.5,0.0,17.37,0.0,0.0,2024-05-11 10:00:00
97.0,0.0,1.1,0.0,19.2,0.0,0.0,2024-05-11 11:00:00
89.0,0.0,1.7,0.0,20.29,0.0,0.0,2024-05-11 12:00:00
30.0,0.0,1.8,0.0,19.83,0.0,0.0,2024-05-11 13:00:00
27.0,0.0,1.2,0.0,19.65,0.0,0.0,2024-05-11 14:00:00
18.0,0.0,0.8,0.0,18.74,0.0,0.0,2024-05-11 15:00:00
14.0,0.0,0.2,0.0,18.95,0.0,0.0,2024-05-11 16:00:00
13.0,0.0,0.9,0.0,18.73,0.0,0.0,2024-05-11 17:00:00
0.0,0.0,0.5,0.0,18.11,0.0,0.0,2024-05-11 18:00:00
0.0,0.0,1.4,0.0,16.88,0.0,0.0,2024-05-11 19:00:00
0.0,0.0,0.2,0.0,16.24,0.0,0.0,2024-05-11 20:00:00
0.0,0.4,0.8,55.0,15.23,0.0,0.0,2024-05-11 21:00:00
0.0,2.0,0.3,60.0,14.2,0.0,0.0,2024-05-11 22:00:00
0.0,0.8,0.1,60.0,14.03,0.0,0.0,2024-05-11 23:00:00
0.0,3.4,1.0,60.0,13.87,0.0,0.0,2024-05-12 00:00:00
0.0,6.8,0.8,60.0,13.67,0.57,0.0,2024-05-12 01:00:00
0.0,5.0,0.6,60.0,13.84,12.7,-16.2,2024-05-12 02:00:00
0.0,4.0,0.5,60.0,13.58,24.21,-6.8,2024-05-12 03:00:00
0.0,1.2,0.2,60.0,13.35,34.84,-1.9,2024-05-12 04:00:00
0.0,0.0,0.5,60.0,12.94,40.37,-0.3,2024-05-12 05:00:00
0.0,0.0,0.3,60.0,12.94,47.54,1.8,2024-05-12 06:00:00
14.0,0.0,0.2,60.0,13.19,54.29,3.9,2024-05-12 07:00:00
77.0,0.0,1.4,60.0,13.72,59.78,5.8,2024-05-12 08:00:00
97.0,0.0,1.4,60.0,15.14,54.62,4.2,2024-05-12 09:00:00
107.0,0.0,0.8,40.0,16.96,0.0,0.0,2024-05-12 10:00:00
106.0,0.0,1.4,0.0,18.06,0.0,0.0,2024-05-12 11:00:00
138.0,0.0,0.5,0.0,20.29,0.0,0.0,2024-05-12 12:00:00
118.0,0.0,0.9,0.0,20.8,0.0,0.0,2024-05-12 13:00:00
110.0,0.0,1.5,0.0,20.27,0.0,0.0,2024-05-12 14:00:00
92.0,0.0,2.2,0.0,20.24,0.0,0.0,2024-05-12 15:00:00
54.0,0.0,2.9,0.0,19.35,0.0,0.0,2024-05-12 16:00:00
46.0,0.0,3.0,0.0,18.95,0.0,0.0,2024-05-12 17:00:00
21.0,0.0,2.7,0.0,17.91,0.0,0.0,2024-05-12 18:00:00
11.0,0.0,1.6,0.0,17.1,0.0,0.0,2024-05-12 19:00:00
0.0,0.0,0.6,0.0,15.99,0.0,0.0,2024-05-12 20:00:00
0.0,0.0,0.3,0.0,15.06,0.0,0.0,2024-05-12 21:00:00
0.0,0.0,0.4,0.0,13.96,0.0,0.0,2024-05-12 22:00:00
0.0,0.0,0.1,0.0,12.69,0.0,0.0,2024-05-12 23:00:00
0.0,0.0,0.0,0.0,11.76,0.0,0.0,2024-05-13 00:00:00
0.0,0.0,0.0,0.0,10.86,0.0,0.0,2024-05-13 01:00:00
0.0,0.0,0.0,0.0,10.62,0.0,0.0,2024-05-13 02:00:00
0.0,0.0,0.0,0.0,10.63,0.0,0.0,2024-05-13 03:00:00
0.0,0.0,0.0,0.0,10.82,0.0,0.0,2024-05-13 04:00:00
0.0,0.0,0.0,0.0,10.94,0.0,0.0,2024-05-13 05:00:00
0.0,0.0,0.0,0.0,10.94,0.0,0.0,2024-05-13 06:00:00
34.0,0.0,0.1,0.0,11.45,0.0,0.0,2024-05-13 07:00:00
39.0,0.0,0.5,0.0,12.55,0.0,0.0,2024-05-13 08:00:00
58.0,0.0,1.5,0.0,13.89,0.0,0.0,2024-05-13 09:00:00
106.0,0.0,1.7,0.0,15.3,0.0,0.0,2024-05-13 10:00:00
95.0,0.0,1.4,0.0,16.43,0.0,0.0,2024-05-13 11:00:00
101.0,0.0,1.1,0.0,17.36,0.0,0.0,2024-05-13 12:00:00
158.0,0.0,1.9,0.0,17.73,0.0,0.0,2024-05-13 13:00:00
156.0,0.0,2.1,0.0,18.47,0.0,0.0,2024-05-13 14:00:00
123.0,0.0,2.1,0.0,18.25,0.0,0.0,2024-05-13 15:00:00
45.0,0.0,1.7,0.0,17.26,0.0,0.0,2024-05-13 16:00:00
25.0,0.0,1.6,0.0,16.55,0.0,0.0,2024-05-13 17:00:00
21.0,0.0,1.2,0.0,16.33,0.0,0.0,2024-05-13 18:00:00
0.0,0.0,0.9,0.0,15.65,0.0,0.0,2024-05-13 19:00:00
