SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT,DATE
0.0,0.0,1.2,0.0,12.76,0.0,0.0,2024-05-26 03:00:00
0.0,0.0,1.5,0.0,13.29,0.0,0.0,2024-05-26 04:00:00
0.0,0.0,0.6,0.0,12.05,0.0,0.0,2024-05-26 05:00:00
16.0,0.0,0.8,0.0,11.53,0.0,0.0,2024-05-26 06:00:00
59.0,0.0,0.9,0.0,12.13,0.0,0.0,2024-05-26 07:00:00
151.0,0.0,2.0,0.0,12.75,0.0,0.0,2024-05-26 08:00:00
246.0,0.0,2.4,0.0,13.81,0.0,0.0,2024-05-26 09:00:00
321.0,0.0,3.1,0.0,15.46,0.0,0.0,2024-05-26 10:00:00
321.0,0.0,2.7,0.0,15.93,0.0,0.0,2024-05-26 11:00:00
267.0,0.0,1.8,0.0,16.48,0.0,0.0,2024-05-26 12:00:00
298.0,0.0,1.3,0.0,17.68,0.0,0.0,2024-05-26 13:00:00
468.0,0.0,2.0,0.0,18.93,0.0,0.0,2024-05-26 14:00:00
348.0,0.0,0.9,0.0,19.71,0.0,0.0,2024-05-26 15:00:00
209.0,0.0,0.7,0.0,19.13,0.0,0.0,2024-05-26 16:00:00
194.0,0.0,0.8,0.0,19.75,0.0,0.0,2024-05-26 17:00:00
91.0,0.0,0.2,0.0,19.82,0.0,0.0,2024-05-26 18:00:00
38.0,0.0,0.1,0.0,18.73,0.0,0.0,2024-05-26 19:00:00
12.0,0.0,0.0,0.0,17.41,0.0,0.0,2024-05-26 20:00:00
0.0,0.0,0.0,0.0,16.28,0.0,0.0,2024-05-26 21:00:00
0.0,0.0,0.0,0.0,15.91,0.0,0.0,2024-05-26 22:00:00
0.0,0.0,0.0,0.0,15.85,0.0,0.0,2024-05-26 23:00:00
0.0,0.0,0.0,0.0,15.92,0.0,0.0,2024-05-27 00:00:00
0.0,0.0,0.0,0.0,15.7,0.0,0.0,2024-05-27 01:00:00
0.0,0.0,0.2,0.0,15.56,0.0,0.0,2024-05-27 02:00:00
0.0,0.0,0.3,0.0,15.29,0.0,0.0,2024-05-27 03:00:00
0.0,0.0,0.1,0.0,14.92,0.0,0.0,2024-05-27 04:00:00
0.0,0.0,0.4,0.0,14.63,0.0,0.0,2024-05-27 05:00:00
18.0,0.0,0.0,0.0,14.49,0.0,0.0,2024-05-27 06:00:00
106.0,0.0,0.2,0.0,15.08,0.0,0.0,2024-05-27 07:00:00
154.0,0.0,1.1,0.0,15.58,0.0,0.0,2024-05-27 08:00:00
280.0,0.0,1.1,0.0,16.58,0.0,0.0,2024-05-27 09:00:00
480.0,0.0,0.7,0.0,19.23,0.0,0.0,2024-05-27 10:00:00
718.0,0.0,0.9,0.0,21.85,0.0,0.0,2024-05-27 11:00:00
707.0,0.0,1.8,0.0,22.93,0.0,0.0,2024-05-27 12:00:00
856.0,0.0,2.0,0.0,24.26,0.0,0.0,2024-05-27 13:00:00
607.0,0.0,2.0,0.0,24.77,0.0,0.0,2024-05-27 14:00:00
633.0,0.0,2.1,0.0,25.08,0.0,0.0,2024-05-27 15:00:00
554.0,0.0,2.3,0.0,25.38,0.0,0.0,2024-05-27 16:00:00
407.0,0.0,2.2,0.0,25.1,0.0,0.0,2024-05-27 17:00:00
235.0,0.0,2.2,0.0,24.61,0.0,0.0,2024-05-27 18:00:00
92.0,0.0,1.7,0.0,23.61,0.0,0.0,2024-05-27 19:00:00
16.0,0.0,0.4,0.0,22.08,0.0,0.0,2024-05-27 20:00:00
0.0,0.0,0.4,0.0,20.52,0.0,0.0,2024-05-27 21:00:00
0.0,0.0,2.2,0.0,20.23,0.0,0.0,2024-05-27 22:00:00
0.0,0.0,1.7,0.0,19.03,0.0,0.0,2024-05-27 23:00:00
0.0,0.0,1.9,0.0,18.43,0.0,0.0,2024-05-28 00:00:00
0.0,0.0,1.5,0.0,17.97,0.0,0.0,2024-05-28 01:00:00
0.0,0.0,2.9,0.0,18.01,0.0,0.0,2024-05-28 02:00:00
0.0,0.0,2.5,0.0,17.91,0.0,0.0,2024-05-28 03:00:00
0.0,0.0,1.5,0.0,16.38,0.0,0.0,2024-05-28 04:00:00
0.0,0.0,2.2,0.0,16.02,0.0,0.0,2024-05-28 05:00:00
56.0,0.0,1.8,0.0,16.0,0.0,0.0,2024-05-28 06:00:00
190.0,0.0,2.8,0.0,16.75,0.0,0.0,2024-05-28 07:00:00
242.0,0.0,3.2,0.0,18.18,0.0,0.0,2024-05-28 08:00:00
429.0,0.0,3.2,0.0,20.08,0.0,0.0,2024-05-28 09:00:00
342.0,0.0,3.4,0.0,20.65,0.0,0.0,2024-05-28 10:00:00
429.0,0.0,2.6,0.0,21.82,0.0,0.0,2024-05-28 11:00:00
335.0,0.0,2.7,0.0,22.9,0.0,0.0,2024-05-28 12:00:00
362.0,0.0,2.3,0.0,22.39,0.0,0.0,2024-05-28 13:00:00
577.0,0.0,3.2,0.0,24.99,0.0,0.0,2024-05-28 14:00:00
546.0,0.0,2.6,0.0,25.81,0.0,0.0,2024-05-28 15:00:00
236.0,0.0,1.5,0.0,23.43,0.0,0.0,2024-05-28 16:00:00
167.0,0.0,1.7,0.0,21.41,0.0,0.0,2024-05-28 17:00:00
101.0,0.0,2.3,0.0,21.66,0.0,0.0,2024-05-28 18:00:00
71.0,0.0,1.8,0.0,22.3,0.0,0.0,2024-05-28 19:00:00
17.0,0.0,1.1,0.0,21.5,0.0,0.0,2024-05-28 20:00:00
0.0,0.0,0.5,0.0,20.31,0.0,0.0,2024-05-28 21:00:00
0.0,0.0,0.1,0.0,18.96,0.0,0.0,2024-05-28 22:00:00
0.0,0.0,0.0,0.0,18.15,0.0,0.0,2024-05-28 23:00:00
0.0,0.0,2.4,0.0,19.13,0.0,0.0,2024-05-29 00:00:00
0.0,0.0,3.3,0.0,19.04,0.0,0.0,2024-05-29 01:00:00
0.0,0.0,3.5,0.0,19.11,45.42,0.0,2024-05-29 02:00:00
0.0,0.0,3.0,0.0,18.37,39.69,0.0,2024-05-29 03:00:00
0.0,0.0,2.7,0.0,16.94,63.82,9.7,2024-05-29 04:00:00
0.0,0.0,1.9,0.0,16.34,27.85,0.0,2024-05-29 05:00:00
31.0,0.0,1.0,0.0,16.15,0.0,0.0,2024-05-29 06:00:00
85.0,0.0,1.3,0.0,16.59,0.0,0.0,2024-05-29 07:00:00
74.0,0.0,0.3,0.0,16.5,0.0,0.0,2024-05-29 08:00:00
156.0,0.0,0.1,0.0,17.28,0.0,0.0,2024-05-29 09:00:00
165.0,0.2,0.1,0.0,17.95,0.0,0.0,2024-05-29 10:00:00
120.0,1.6,0.0,55.0,17.27,0.0,0.0,2024-05-29 11:00:00
156.0,0.4,0.1,60.0,18.16,0.0,0.0,2024-05-29 12:00:00
235.0,0.0,1.0,60.0,19.54,0.0,0.0,2024-05-29 13:00:00
427.0,0.0,1.3,30.0,20.71,0.0,0.0,2024-05-29 14:00:00
350.0,4.0,0.7,15.0,21.54,0.0,0.0,2024-05-29 15:00:00
303.0,0.0,0.0,60.0,21.64,66.66,14.6,2024-05-29 16:00:00
354.0,0.0,1.2,5.0,22.44,37.03,0.0,2024-05-29 17:00:00
289.0,0.0,0.9,0.0,22.96,0.0,0.0,2024-05-29 18:00:00
111.0,0.0,0.2,0.0,22.27,37.14,0.0,2024-05-29 19:00:00
17.0,0.0,0.0,0.0,20.7,0.0,0.0,2024-05-29 20:00:00
0.0,0.0,0.0,0.0,19.09,0.0,0.0,2024-05-29 21:00:00
0.0,0.0,0.0,0.0,18.27,28.81,5.1,2024-05-29 22:00:00
0.0,0.0,0.0,0.0,17.1,0.0,0.0,2024-05-29 23:00:00
0.0,0.0,0.0,0.0,15.86,7.22,0.0,2024-05-30 00:00:00
0.0,0.0,0.0,0.0,14.91,0.0,0.0,2024-05-30 01:00:00
0.0,0.0,0.0,0.0,14.72,16.66,2.4,2024-05-30 02:00:00
0.0,0.0,0.0,0.0,14.94,100.0,14.8,2024-05-30 03:00:00
0.0,0.0,0.0,0.0,15.27,100.0,15.2,2024-05-30 04:00:00
0.0,0.0,0.0,0.0,15.0,100.0,14.9,2024-05-30 05:00:00
47.0,0.0,0.0,0.0,15.53,100.0,15.4,2024-05-30 06:00:00
180.0,0.0,0.1,0.0,17.75,100.0,17.7,2024-05-30 07:00:00
275.0,0.0,0.5,0.0,20.19,100.0,20.1,2024-05-30 08:00:00
512.0,0.0,0.5,0.0,22.24,57.19,0.0,2024-05-30 09:00:00
657.0,0.0,0.2,0.0,24.06,0.0,0.0,2024-05-30 10:00:00
773.0,0.0,0.5,0.0,25.33,0.0,0.0,2024-05-30 11:00:00
810.0,0.0,0.7,0.0,26.4,0.0,0.0,2024-05-30 12:00:00
628.0,0.0,0.5,0.0,26.74,0.0,0.0,2024-05-30 13:00:00
698.0,0.0,0.4,5.0,27.12,0.0,0.0,2024-05-30 14:00:00
689.0,0.0,0.4,0.0,28.56,0.0,0.0,2024-05-30 15:00:00
392.0,0.0,0.0,0.0,27.44,16.66,4.4,2024-05-30 16:00:00
452.0,0.0,0.3,0.0,28.25,8.33,0.0,2024-05-30 17:00:00
205.0,0.0,0.6,0.0,27.31,0.0,0.0,2024-05-30 18:00:00
85.0,0.0,0.4,0.0,26.81,0.0,0.0,2024-05-30 19:00:00
0.0,0.0,0.0,0.0,24.7,0.0,0.0,2024-05-30 20:00:00
0.0,0.0,0.1,0.0,22.94,0.0,0.0,2024-05-30 21:00:00
0.0,0.0,0.1,0.0,21.99,0.0,0.0,2024-05-30 22:00:00
0.0,0.0,0.0,0.0,20.99,0.0,0.0,2024-05-30 23:00:00
0.0,0.0,0.0,0.0,20.05,0.0,0.0,2024-05-31 00:00:00
0.0,0.0,0.0,0.0,19.07,0.0,0.0,2024-05-31 01:00:00
0.0,0.0,0.0,0.0,17.6,0.0,0.0,2024-05-31 02:00:00
