SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT,DATE
240.0,0.0,2.3,0.0,24.66,0.0,0.0,2021-05-31 18:00:00
100.0,0.0,2.1,0.0,23.78,0.0,0.0,2021-05-31 19:00:00
15.0,0.0,1.9,0.0,22.11,0.0,0.0,2021-05-31 20:00:00
0.0,0.0,1.6,0.0,20.85,0.0,0.0,2021-05-31 21:00:00
0.0,0.0,1.3,0.0,20.23,0.0,0.0,2021-05-31 22:00:00
0.0,0.0,2.9,0.0,20.12,0.0,0.0,2021-05-31 23:00:00
0.0,0.0,3.2,0.0,19.92,0.0,0.0,2021-06-01 00:00:00
0.0,0.0,3.8,5.0,19.99,0.0,0.0,2021-06-01 01:00:00
0.0,0.0,4.2,30.0,19.36,0.0,0.0,2021-06-01 02:00:00
0.0,0.0,2.8,0.0,19.04,0.0,0.0,2021-06-01 03:00:00
0.0,0.4,1.0,30.0,18.51,0.0,0.0,2021-06-01 04:00:00
0.0,0.2,1.8,60.0,17.93,0.0,0.0,2021-06-01 05:00:00
12.0,0.6,0.5,60.0,17.88,0.0,0.0,2021-06-01 06:00:00
76.0,0.0,0.0,60.0,18.33,0.0,0.0,2021-06-01 07:00:00
145.0,0.0,0.0,25.0,19.52,0.0,0.0,2021-06-01 08:00:00
65.0,0.2,0.1,25.0,19.46,0.0,0.0,2021-06-01 09:00:00
90.0,0.0,0.0,40.0,19.48,0.0,0.0,2021-06-01 10:00:00
459.0,0.0,0.5,0.0,21.49,0.0,0.0,2021-06-01 11:00:00
525.0,0.0,1.0,0.0,22.74,0.0,0.0,2021-06-01 12:00:00
596.0,0.0,0.7,0.0,23.9,0.0,0.0,2021-06-01 13:00:00
787.0,0.0,0.8,0.0,25.5,0.0,0.0,2021-06-01 14:00:00
571.0,0.0,1.6,0.0,24.91,0.0,0.0,2021-06-01 15:00:00
258.0,0.0,1.7,0.0,23.9,0.0,0.0,2021-06-01 16:00:00
274.0,0.0,1.5,0.0,23.87,0.0,0.0,2021-06-01 17:00:00
184.0,0.0,1.0,0.0,23.71,0.0,0.0,2021-06-01 18:00:00
99.0,0.0,0.3,0.0,23.07,0.0,0.0,2021-06-01 19:00:00
10.0,0.0,0.0,0.0,22.13,0.0,0.0,2021-06-01 20:00:00
0.0,0.0,0.1,0.0,21.43,0.0,0.0,2021-06-01 21:00:00
0.0,0.2,0.5,10.0,20.59,0.0,0.0,2021-06-01 22:00:00
0.0,22.8,1.6,50.0,18.9,0.0,0.0,2021-06-01 23:00:00
0.0,0.8,0.5,60.0,17.6,0.0,0.0,2021-06-02 00:00:00
0.0,0.8,0.1,60.0,17.67,0.0,0.0,2021-06-02 01:00:00
0.0,13.6,1.9,60.0,17.1,0.0,0.0,2021-06-02 02:00:00
0.0,4.8,2.2,25.0,15.64,0.0,0.0,2021-06-02 03:00:00
0.0,3.0,2.1,35.0,15.28,0.0,0.0,2021-06-02 04:00:00
0.0,0.0,1.4,0.0,15.38,0.0,0.0,2021-06-02 05:00:00
19.0,0.0,1.5,0.0,16.16,0.0,0.0,2021-06-02 06:00:00
82.0,0.0,1.1,0.0,16.68,0.0,0.0,2021-06-02 07:00:00
211.0,0.0,2.2,0.0,17.64,0.0,0.0,2021-06-02 08:00:00
574.0,0.0,2.8,0.0,19.6,0.0,0.0,2021-06-02 09:00:00
339.0,0.0,2.8,0.0,19.63,0.0,0.0,2021-06-02 10:00:00
578.0,0.0,3.1,0.0,20.41,0.0,0.0,2021-06-02 11:00:00
544.0,0.0,4.2,0.0,20.72,0.0,0.0,2021-06-02 12:00:00
311.0,0.0,3.6,0.0,19.71,0.0,0.0,2021-06-02 13:00:00
289.0,0.0,3.3,0.0,19.53,0.0,0.0,2021-06-02 14:00:00
222.0,0.2,2.7,0.0,19.06,0.0,0.0,2021-06-02 15:00:00
389.0,0.0,3.3,0.0,20.0,0.0,0.0,2021-06-02 16:00:00
501.0,0.0,3.0,0.0,21.06,0.0,0.0,2021-06-02 17:00:00
239.0,0.0,3.4,0.0,20.76,0.0,0.0,2021-06-02 18:00:00
129.0,0.0,2.5,0.0,20.4,0.0,0.0,2021-06-02 19:00:00
30.0,0.0,2.1,0.0,19.15,0.0,0.0,2021-06-02 20:00:00
0.0,0.0,0.8,0.0,17.02,0.0,0.0,2021-06-02 21:00:00
0.0,0.0,1.3,0.0,16.36,0.0,0.0,2021-06-02 22:00:00
0.0,0.0,1.4,0.0,15.66,0.0,0.0,2021-06-02 23:00:00
0.0,0.0,2.1,0.0,15.42,0.0,0.0,2021-06-03 00:00:00
0.0,0.0,0.6,0.0,14.81,0.0,0.0,2021-06-03 01:00:00
0.0,0.0,0.6,0.0,14.1,0.0,0.0,2021-06-03 02:00:00
0.0,0.0,1.5,0.0,14.35,0.0,0.0,2021-06-03 03:00:00
0.0,0.0,1.8,0.0,14.4,0.0,0.0,2021-06-03 04:00:00
0.0,0.0,2.6,0.0,14.36,0.0,0.0,2021-06-03 05:00:00
38.0,0.0,2.6,0.0,14.37,0.0,0.0,2021-06-03 06:00:00
189.0,0.0,2.9,0.0,15.57,0.0,0.0,2021-06-03 07:00:00
290.0,0.0,3.2,0.0,16.87,0.0,0.0,2021-06-03 08:00:00
464.0,0.0,4.3,0.0,17.15,0.0,0.0,2021-06-03 09:00:00
616.0,0.0,4.3,0.0,17.58,0.0,0.0,2021-06-03 10:00:00
787.0,0.0,4.4,0.0,18.73,0.0,0.0,2021-06-03 11:00:00
653.0,0.0,3.6,0.0,18.93,0.0,0.0,2021-06-03 12:00:00
811.0,0.0,4.9,0.0,19.6,0.0,0.0,2021-06-03 13:00:00
784.0,0.0,4.8,0.0,20.1,0.0,0.0,2021-06-03 14:00:00
309.0,0.0,4.1,0.0,19.34,0.0,0.0,2021-06-03 15:00:00
361.0,0.0,3.7,0.0,19.12,0.0,0.0,2021-06-03 16:00:00
517.0,0.0,3.1,0.0,19.99,0.0,0.0,2021-06-03 17:00:00
198.0,0.0,3.4,0.0,18.67,0.0,0.0,2021-06-03 18:00:00
108.0,0.0,3.5,0.0,17.2,0.0,0.0,2021-06-03 19:00:00
21.0,0.0,3.3,0.0,15.82,0.0,0.0,2021-06-03 20:00:00
0.0,0.0,2.7,0.0,14.96,0.0,0.0,2021-06-03 21:00:00
